player_id,player,team,league,season,age,nationality,minutes,goals_per90,assists_per90,ga_nopk_per90,shots,shots_on_target,goals_per_shot,tackles,interceptions,fouls_drawn,crosses_per90,progressive_passes_per90,key_passes_per90,pass_completion_pct,sca_per90,passes_final_third_total,xa_per90,np_xg_per90,xg_chain,xg_buildup,cluster,pc1,pc2,similarity_to_kroos
Almamy Touré_2019-20,Almamy Touré,Eintracht Frankfurt,Bundesliga,2019-20,23,MLI,1491,0.06,0.18,0.24,0.91,0.3,0.07,1.3855,1.5663,0.3614,4.4578,0.2256,0.0699,67.4,2.41,57.0,0.1613,0.1106,5.0703695537522435,2.770452323369682,0.0,-0.1241,1.2603,0.6745
Amad Diallo_2019-20,Amad Diallo,Atalanta,Serie A,2019-20,17,CIV,27,3.33,0.0,3.33,3.33,3.33,1.0,3.3333,0.0,0.0,3.3333,3.3333,1.1111,68.4,6.67,1.0,0.0,0.0,0.0,0.0,,,,
Amadou Diawara_2019-20,Amadou Diawara,Roma,Serie A,2019-20,22,GUI,1518,0.06,0.06,0.06,0.59,0.24,0.0,1.4201,2.1302,1.0651,0.1183,0.2425,0.0431,88.6,2.43,93.0,0.0274,0.0125,7.106500657275319,6.651072710752487,1.0,-2.7385,1.5167,0.6436
Amadou Haidara_2019-20,Amadou Haidara,RB Leipzig,Bundesliga,2019-20,21,MLI,756,0.0,0.12,0.12,2.26,0.71,0.0,1.6667,0.8333,0.4762,0.8333,0.3446,0.0752,84.6,4.89,50.0,0.2444,0.0855,6.48830908164382,4.9324462078511715,,,,
Amath_2019-20,Amath,Getafe,La Liga,2019-20,23,SEN,66,0.0,0.0,0.0,0.0,0.0,0.0,1.4286,0.0,5.7143,0.0,0.5844,0.0,64.7,1.36,3.0,0.0,0.0,0.0,0.0,,,,
Ambroise Oyongo_2019-20,Ambroise Oyongo,Montpellier,Ligue 1,2019-20,28,CMR,1821,0.0,0.0,0.0,0.49,0.0,0.0,0.4455,0.8416,1.0891,3.2178,0.1624,0.0306,73.2,1.53,59.0,0.0328,0.0213,3.324455605819822,2.495667712762952,1.0,-1.3287,-0.9152,0.5794
Amin Younes_2019-20,Amin Younes,Napoli,Serie A,2019-20,25,GER,176,0.51,0.0,0.51,3.58,0.51,0.14,1.0,0.0,2.5,0.5,0.6818,0.2841,81.3,6.65,6.0,0.3774,0.4201,2.2266173101961613,1.3310634084045887,,,,
Amine Adli_2019-20,Amine Adli,Toulouse,Ligue 1,2019-20,19,MAR,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.4674,0.9783,76.9,5.87,3.0,0.1109,0.0,0.0316043002530932,0.0169091001152992,,,,
Amine Gouiri_2019-20,Amine Gouiri,Lyon,Ligue 1,2019-20,19,ALG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Amine Harit_2019-20,Amine Harit,Schalke 04,Bundesliga,2019-20,22,MAR,2102,0.26,0.17,0.39,1.24,0.51,0.17,0.3419,0.2991,2.9487,0.9402,0.2295,0.0754,82.6,3.94,71.0,0.1428,0.0989,9.375250519253314,4.974154824391007,0.0,1.4853,1.0739,0.7426
Amir Abrashi_2019-20,Amir Abrashi,Freiburg,Bundesliga,2019-20,29,ALB,663,0.0,0.0,0.0,0.54,0.27,0.0,1.2162,0.9459,1.6216,0.9459,0.2819,0.0418,84.8,1.35,24.0,0.0109,0.0672,1.5686501078307629,1.026388781145215,,,,
Anastasios Donis_2019-20,Anastasios Donis,Reims,Ligue 1,2019-20,22,GRE,609,0.0,0.0,0.0,2.22,1.03,0.0,0.1471,0.1471,1.1765,3.3824,0.0296,0.0591,54.1,1.77,1.0,0.0362,0.2127,1.77592461835593,0.1844718009233474,,,,
Ander Barrenetxea_2019-20,Ander Barrenetxea,Real Sociedad,La Liga,2019-20,17,ESP,442,0.0,0.0,0.0,3.05,0.81,0.0,1.8367,0.8163,1.0204,4.6939,0.2396,0.0958,72.0,3.86,9.0,0.1147,0.2089,1.644951693713665,0.4963624868541956,,,,
